epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,823.666,1.2044,0.07833,0.13638,0.62996,1.36086,0.99642,1,0.995,0.73004,0.99642,1,0.995,0.995,1.0174,0.04253,0.00263,0.45268,1.4755,0.000746,0.000746,0.000746
40,869.969,1.06807,0.06974,0.09323,0.57142,1.25716,0.9966,1,0.995,0.74156,0.9966,1,0.995,0.995,1.00887,0.0378,0.00161,0.43769,1.44586,0.000713,0.000713,0.000713
41,889.207,1.02429,0.06063,0.0804,0.55852,1.2857,0.99391,1,0.995,0.74422,0.99391,1,0.995,0.995,1.00458,0.03691,0.00129,0.42371,1.42513,0.00068,0.00068,0.00068
42,923.69,1.05708,0.06867,0.09832,0.57589,1.3333,0.99682,1,0.995,0.72713,0.99682,1,0.995,0.995,1.00801,0.04286,0.00251,0.44314,1.43817,0.000647,0.000647,0.000647
43,942.188,1.03282,0.07722,0.09933,0.56293,1.26307,0.9967,1,0.995,0.68758,0.9967,1,0.995,0.995,1.11389,0.0379,0.00474,0.45071,1.57345,0.000614,0.000614,0.000614
44,1077.59,0.99941,0.06066,0.08933,0.5485,1.27003,0.99676,1,0.995,0.69754,0.99676,1,0.995,0.995,1.08953,0.04023,0.00538,0.44919,1.52316,0.000581,0.000581,0.000581
45,1290.32,1.01619,0.07112,0.08748,0.56139,1.24926,0.99687,1,0.995,0.73905,0.99687,1,0.995,0.995,1.02285,0.04672,0.01101,0.44171,1.42196,0.000548,0.000548,0.000548
46,1310.53,1.02786,0.06471,0.11152,0.54238,1.25663,0.99688,1,0.995,0.70633,0.99688,1,0.995,0.995,1.0466,0.04361,0.0066,0.43614,1.43681,0.000515,0.000515,0.000515
47,1328.55,0.97582,0.05839,0.08414,0.58464,1.23764,0.99681,1,0.995,0.72312,0.99681,1,0.995,0.995,1.00573,0.0469,0.00252,0.44795,1.52054,0.000482,0.000482,0.000482
48,1348.24,0.9782,0.06221,0.08656,0.57515,1.21683,0.99686,1,0.995,0.74724,0.99686,1,0.995,0.995,1.04194,0.05258,0.00282,0.44459,1.58138,0.000449,0.000449,0.000449
49,1367.79,0.95601,0.05875,0.08883,0.58348,1.22524,0.99723,1,0.995,0.77117,0.99723,1,0.995,0.995,0.96349,0.03373,0.00589,0.40677,1.42475,0.000416,0.000416,0.000416
