epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,1346.92,0.33704,0.37606,0.28516,0.81582,0,0.99655,0.98571,0.99486,0.9601,0.99655,0.98571,0.99486,0.93392,0.29559,0.31718,0.25654,0.8449,0,0.000437317,0.000437317,0.000437317
51,1373.71,0.35314,0.3741,0.29535,0.81827,0,0.99284,0.99086,0.99479,0.94379,0.99284,0.99086,0.99479,0.92912,0.29623,0.31228,0.26062,0.83981,0,0.000423569,0.000423569,0.000423569
52,1400.53,0.34136,0.37294,0.28339,0.80981,0,0.9928,0.98448,0.99464,0.95088,0.9928,0.98448,0.99464,0.93402,0.29797,0.30627,0.25785,0.83707,0,0.00040982,0.00040982,0.00040982
53,1428.04,0.33575,0.35692,0.28114,0.81309,0,0.99104,0.98571,0.99465,0.95139,0.99104,0.98571,0.99465,0.92898,0.2902,0.30751,0.25402,0.84049,0,0.000396071,0.000396071,0.000396071
54,1455.07,0.32905,0.35357,0.2784,0.81055,0,0.99159,0.98571,0.99479,0.95408,0.99159,0.98571,0.99479,0.93229,0.28235,0.30872,0.24518,0.83466,0,0.000382323,0.000382323,0.000382323
55,1481.83,0.32825,0.36569,0.27772,0.80679,0,1,0.98866,0.995,0.95292,1,0.98866,0.995,0.92559,0.28204,0.31412,0.24265,0.83928,0,0.000368574,0.000368574,0.000368574
56,1508.41,0.31413,0.34323,0.26525,0.80918,0,0.99257,0.99286,0.99464,0.951,0.99257,0.99286,0.99464,0.934,0.29318,0.29503,0.24113,0.84395,0,0.000354826,0.000354826,0.000354826
57,1534.8,0.33925,0.37938,0.27657,0.81546,0,1,0.98878,0.995,0.95576,1,0.98878,0.995,0.92976,0.29121,0.29538,0.2375,0.84651,0,0.000341077,0.000341077,0.000341077
58,1561.35,0.31952,0.3597,0.27007,0.80879,0,0.99291,0.99968,0.99472,0.9486,0.99291,0.99968,0.99472,0.93289,0.29074,0.29412,0.24419,0.84344,0,0.000327328,0.000327328,0.000327328
59,1587.92,0.32528,0.35296,0.27642,0.80681,0,0.99355,1,0.995,0.9554,0.99355,1,0.995,0.9301,0.29504,0.30261,0.24066,0.84378,0,0.00031358,0.00031358,0.00031358
60,1615.1,0.32105,0.34467,0.2692,0.80801,0,0.99015,1,0.99493,0.95284,0.99015,1,0.99493,0.92395,0.2788,0.30442,0.23653,0.84347,0,0.000299831,0.000299831,0.000299831
61,1641.88,0.31499,0.3495,0.26668,0.80745,0,0.9929,0.999,0.995,0.95124,0.9929,0.999,0.995,0.9252,0.27734,0.30346,0.23138,0.83675,0,0.000286083,0.000286083,0.000286083
62,1668.58,0.3256,0.36463,0.27416,0.80919,0,0.99579,1,0.995,0.95643,0.99579,1,0.995,0.92817,0.27142,0.30737,0.23449,0.83609,0,0.000272334,0.000272334,0.000272334
63,1695.16,0.31697,0.35171,0.27162,0.81606,0,0.99102,1,0.99472,0.9585,0.99102,1,0.99472,0.9313,0.27761,0.30617,0.23312,0.83855,0,0.000258585,0.000258585,0.000258585
64,1722.57,0.30808,0.33673,0.26141,0.8062,0,1,0.97773,0.99444,0.95721,1,0.97773,0.99444,0.9265,0.26411,0.30265,0.23062,0.83322,0,0.000244837,0.000244837,0.000244837
65,1749.32,0.30707,0.3581,0.26187,0.80532,0,0.99288,0.99613,0.99465,0.96218,0.99288,0.99613,0.99465,0.92975,0.25308,0.29335,0.22736,0.83493,0,0.000231088,0.000231088,0.000231088
66,1775.89,0.29629,0.32511,0.25788,0.80142,0,0.99076,1,0.99465,0.95767,0.99076,1,0.99465,0.92572,0.25566,0.29819,0.22545,0.83442,0,0.000217339,0.000217339,0.000217339
67,1802.35,0.30512,0.3384,0.25676,0.8081,0,0.98584,0.99478,0.99347,0.96108,0.98584,0.99478,0.99347,0.93238,0.25185,0.30474,0.23475,0.83176,0,0.000203591,0.000203591,0.000203591
68,1828.93,0.29603,0.32757,0.25397,0.80113,0,0.99055,0.99286,0.99436,0.95661,0.99055,0.99286,0.99436,0.93403,0.25481,0.29029,0.23252,0.83846,0,0.000189842,0.000189842,0.000189842
69,1855.55,0.29486,0.32163,0.25486,0.80612,0,0.99075,1,0.99436,0.96001,0.99075,1,0.99436,0.9297,0.25264,0.28619,0.23268,0.8359,0,0.000176094,0.000176094,0.000176094
70,1882.35,0.28718,0.32616,0.24707,0.8012,0,0.9913,1,0.99486,0.96453,0.9913,1,0.99486,0.92869,0.25153,0.27869,0.2267,0.83138,0,0.000162345,0.000162345,0.000162345
71,1907.51,0.24928,0.27444,0.22203,0.78749,0,0.99218,0.99286,0.99486,0.96459,0.99218,0.99286,0.99486,0.93172,0.25871,0.27935,0.22865,0.8316,0,0.000148596,0.000148596,0.000148596
72,1932.48,0.25271,0.27871,0.22435,0.78882,0,0.99908,0.99286,0.995,0.95856,0.99908,0.99286,0.995,0.93518,0.26626,0.28995,0.2281,0.84021,0,0.000134848,0.000134848,0.000134848
73,1957.29,0.25926,0.28323,0.22699,0.78999,0,1,0.99751,0.995,0.95986,1,0.99751,0.995,0.93224,0.25767,0.29265,0.22256,0.83805,0,0.000121099,0.000121099,0.000121099
74,1982.21,0.24145,0.26692,0.21737,0.78024,0,0.99467,1,0.995,0.95976,0.99467,1,0.995,0.93716,0.2577,0.29186,0.22227,0.83933,0,0.00010735,0.00010735,0.00010735
75,2007.26,0.24716,0.27274,0.21877,0.78166,0,0.99804,1,0.995,0.95893,0.99804,1,0.995,0.93468,0.25928,0.28993,0.22257,0.84104,0,9.36017e-05,9.36017e-05,9.36017e-05
76,2032.32,0.24228,0.2769,0.21922,0.77538,0,1,0.99948,0.995,0.96417,1,0.99948,0.995,0.93761,0.25189,0.28206,0.21436,0.83337,0,7.98531e-05,7.98531e-05,7.98531e-05
77,2057.24,0.2402,0.27012,0.21727,0.78091,0,0.99289,0.99711,0.995,0.9656,0.99289,0.99711,0.995,0.93453,0.24264,0.28202,0.20964,0.83254,0,6.61045e-05,6.61045e-05,6.61045e-05
78,2082.06,0.23231,0.26657,0.21236,0.78509,0,0.99846,0.99286,0.995,0.9681,0.99846,0.99286,0.995,0.93373,0.23881,0.28255,0.2097,0.83067,0,5.23559e-05,5.23559e-05,5.23559e-05
79,2108.71,0.23618,0.27475,0.21565,0.79171,0,0.99289,0.99806,0.995,0.96735,0.99289,0.99806,0.995,0.93602,0.24095,0.28299,0.21251,0.82945,0,3.86073e-05,3.86073e-05,3.86073e-05
80,2136.89,0.22555,0.24961,0.2068,0.78309,0,0.99597,0.99286,0.995,0.96833,0.99597,0.99286,0.995,0.93817,0.23946,0.28282,0.21099,0.8294,0,2.48586e-05,2.48586e-05,2.48586e-05
